,HP1,HP2,HP3,TW,SW1,SW2,SW3
57,,3.0,3.0,1.0,,5.0,5.0
58,2.0,,3.0,,2.0,3.0,3.0
59,,,2.0,,3.0,3.0,4.0
60,3.0,3.0,3.0,1.0,3.0,2.0,1.0
61,,3.0,2.0,1.0,5.0,2.0,5.0
62,2.0,,2.0,4.0,,3.0,5.0
63,,3.0,2.0,,4.0,1.0,1.0
64,2.0,4.0,5.0,3.0,5.0,1.0,2.0
65,5.0,4.0,3.0,3.0,2.0,1.0,2.0
66,,1.0,4.0,3.0,2.0,2.0,3.0
67,1.0,,,1.0,4.0,,4.0
68,,5.0,5.0,4.0,2.0,2.0,1.0
69,4.0,5.0,,5.0,,2.0,4.0
70,5.0,5.0,3.0,2.0,1.0,5.0,4.0
71,,2.0,2.0,3.0,,3.0,2.0
72,4.0,2.0,5.0,3.0,4.0,1.0,
73,3.0,,5.0,4.0,,2.0,5.0
74,3.0,5.0,5.0,1.0,2.0,,3.0
75,1.0,,,3.0,3.0,4.0,3.0
76,2.0,2.0,4.0,4.0,3.0,3.0,3.0
77,3.0,4.0,5.0,4.0,4.0,4.0,
78,,3.0,1.0,4.0,2.0,4.0,2.0
79,5.0,,,3.0,2.0,1.0,1.0
80,5.0,3.0,4.0,3.0,5.0,5.0,5.0
81,,,5.0,5.0,5.0,2.0,
82,,4.0,3.0,,5.0,5.0,4.0
83,3.0,5.0,,5.0,5.0,4.0,2.0
84,,4.0,5.0,5.0,3.0,,2.0
85,,5.0,2.0,4.0,3.0,1.0,
86,1.0,,4.0,4.0,3.0,2.0,5.0
87,3.0,,5.0,5.0,,5.0,3.0
88,1.0,,2.0,3.0,3.0,1.0,2.0
89,1.0,2.0,5.0,1.0,1.0,1.0,
90,,5.0,2.0,4.0,1.0,4.0,4.0
91,4.0,3.0,,,2.0,,3.0
92,4.0,1.0,2.0,4.0,3.0,3.0,1.0
93,2.0,3.0,,5.0,1.0,,1.0
94,2.0,1.0,,,,5.0,5.0
95,4.0,,4.0,,1.0,3.0,1.0
96,1.0,1.0,5.0,1.0,4.0,5.0,
97,1.0,,4.0,,3.0,2.0,3.0
98,,5.0,3.0,2.0,4.0,4.0,2.0
99,3.0,1.0,1.0,5.0,,4.0,3.0
100,5.0,3.0,3.0,3.0,4.0,5.0,3.0
101,1.0,2.0,1.0,2.0,3.0,3.0,3.0
102,3.0,,5.0,,1.0,,
103,2.0,3.0,1.0,1.0,2.0,3.0,3.0
104,,1.0,,3.0,3.0,3.0,1.0
105,2.0,4.0,5.0,2.0,4.0,2.0,3.0
106,3.0,,,2.0,3.0,1.0,5.0
107,2.0,,2.0,4.0,2.0,,3.0
108,1.0,,2.0,1.0,3.0,2.0,3.0
109,,3.0,5.0,3.0,4.0,,2.0
110,,,1.0,4.0,3.0,4.0,4.0
111,1.0,3.0,3.0,2.0,5.0,,
112,,1.0,1.0,5.0,,3.0,
113,2.0,,2.0,1.0,,,
114,4.0,,,1.0,5.0,3.0,4.0
115,2.0,,2.0,2.0,3.0,5.0,1.0
116,3.0,,2.0,4.0,4.0,1.0,5.0
117,4.0,1.0,4.0,1.0,,1.0,5.0
118,2.0,4.0,2.0,5.0,,1.0,1.0
119,4.0,1.0,1.0,3.0,4.0,,5.0
120,5.0,2.0,2.0,3.0,5.0,2.0,2.0
121,1.0,2.0,2.0,2.0,5.0,,1.0
122,5.0,1.0,1.0,5.0,5.0,,
123,4.0,,5.0,5.0,,4.0,1.0
124,4.0,5.0,4.0,,5.0,4.0,4.0
125,,,3.0,,1.0,2.0,2.0
126,,3.0,1.0,,,,1.0
127,,,1.0,,4.0,1.0,4.0
128,3.0,,4.0,3.0,2.0,5.0,
129,3.0,,3.0,3.0,2.0,5.0,
130,5.0,4.0,,,5.0,5.0,
131,2.0,3.0,5.0,5.0,3.0,5.0,5.0
132,3.0,,2.0,1.0,,5.0,3.0
133,4.0,2.0,,,3.0,1.0,2.0
134,1.0,2.0,1.0,2.0,4.0,1.0,4.0
135,,1.0,4.0,2.0,1.0,3.0,4.0
136,1.0,,5.0,,3.0,3.0,1.0
137,5.0,5.0,3.0,5.0,1.0,3.0,2.0
138,3.0,3.0,,,1.0,2.0,
139,,4.0,2.0,1.0,5.0,2.0,1.0
140,5.0,1.0,1.0,3.0,3.0,,5.0
141,5.0,3.0,5.0,4.0,1.0,4.0,4.0
142,,,1.0,1.0,2.0,1.0,
143,1.0,1.0,1.0,2.0,,4.0,5.0
144,1.0,4.0,1.0,4.0,1.0,5.0,1.0
145,3.0,5.0,3.0,1.0,3.0,4.0,1.0
146,3.0,4.0,,,1.0,,1.0
147,1.0,5.0,1.0,5.0,3.0,5.0,4.0
148,2.0,5.0,,,1.0,4.0,
149,5.0,1.0,1.0,1.0,2.0,4.0,5.0
150,4.0,3.0,4.0,5.0,3.0,2.0,4.0
151,1.0,,,5.0,,5.0,5.0
152,4.0,2.0,5.0,1.0,5.0,,4.0
153,2.0,4.0,2.0,2.0,3.0,4.0,5.0
154,3.0,5.0,,2.0,4.0,4.0,3.0
155,,1.0,3.0,3.0,4.0,4.0,2.0
156,1.0,2.0,4.0,4.0,2.0,1.0,5.0
157,,4.0,1.0,4.0,4.0,3.0,1.0
158,5.0,5.0,1.0,5.0,5.0,,4.0
159,1.0,1.0,4.0,3.0,4.0,2.0,2.0
160,4.0,2.0,1.0,5.0,1.0,5.0,2.0
161,,,5.0,5.0,5.0,4.0,1.0
162,3.0,1.0,3.0,2.0,1.0,1.0,5.0
163,1.0,4.0,5.0,4.0,,3.0,2.0
164,5.0,,2.0,2.0,5.0,5.0,5.0
165,1.0,,4.0,4.0,,1.0,
166,,2.0,2.0,4.0,1.0,2.0,5.0
167,4.0,4.0,4.0,,1.0,1.0,4.0
168,4.0,3.0,2.0,4.0,,4.0,4.0
169,2.0,5.0,,5.0,5.0,4.0,3.0
170,4.0,3.0,2.0,,4.0,5.0,4.0
171,,4.0,,1.0,,,4.0
172,5.0,2.0,2.0,4.0,2.0,2.0,
173,3.0,1.0,1.0,1.0,3.0,1.0,3.0
174,3.0,4.0,1.0,3.0,1.0,1.0,5.0
175,4.0,,3.0,,3.0,,4.0
176,4.0,4.0,,3.0,5.0,,2.0
177,3.0,2.0,,4.0,3.0,4.0,5.0
178,5.0,1.0,,5.0,2.0,4.0,2.0
179,3.0,5.0,4.0,3.0,,3.0,3.0
180,2.0,1.0,5.0,,4.0,,2.0
181,4.0,3.0,2.0,,2.0,2.0,2.0
182,3.0,,4.0,,5.0,2.0,
183,,5.0,4.0,1.0,1.0,,
184,5.0,,2.0,3.0,5.0,5.0,1.0
185,1.0,4.0,1.0,,4.0,,3.0
186,,,,3.0,3.0,2.0,
187,4.0,4.0,5.0,5.0,1.0,2.0,4.0
188,1.0,3.0,5.0,5.0,,2.0,5.0
189,2.0,3.0,2.0,4.0,4.0,3.0,1.0
190,2.0,,5.0,4.0,1.0,3.0,2.0
191,,3.0,4.0,2.0,5.0,,5.0
192,3.0,5.0,3.0,5.0,1.0,2.0,
193,1.0,2.0,4.0,3.0,,3.0,4.0
194,,,3.0,1.0,,,1.0
195,3.0,,3.0,5.0,4.0,3.0,3.0
196,,2.0,3.0,5.0,5.0,3.0,5.0
197,,,,4.0,2.0,5.0,4.0
198,3.0,,5.0,,3.0,,1.0
199,3.0,4.0,5.0,1.0,1.0,5.0,4.0
200,5.0,2.0,1.0,1.0,3.0,5.0,5.0
201,3.0,,1.0,,4.0,5.0,1.0
202,1.0,1.0,4.0,4.0,,4.0,
203,,4.0,2.0,3.0,4.0,,3.0
204,1.0,5.0,,3.0,4.0,,1.0
205,,1.0,5.0,5.0,4.0,,4.0
206,4.0,2.0,2.0,4.0,3.0,1.0,3.0
207,,4.0,3.0,5.0,,3.0,4.0
208,2.0,4.0,4.0,1.0,5.0,,5.0
209,1.0,1.0,5.0,4.0,2.0,4.0,5.0
210,4.0,,5.0,,4.0,1.0,1.0
211,3.0,2.0,2.0,3.0,,,4.0
212,5.0,4.0,4.0,5.0,,,4.0
213,,5.0,5.0,4.0,,5.0,2.0
214,4.0,2.0,3.0,,1.0,1.0,2.0
215,4.0,2.0,,2.0,3.0,4.0,1.0
216,4.0,1.0,4.0,4.0,4.0,5.0,3.0
217,2.0,2.0,1.0,2.0,5.0,5.0,1.0
218,4.0,5.0,3.0,4.0,2.0,5.0,5.0
219,1.0,,1.0,1.0,4.0,,5.0
220,4.0,2.0,3.0,,1.0,,
221,1.0,3.0,4.0,4.0,5.0,2.0,2.0
222,2.0,5.0,4.0,,2.0,2.0,3.0
223,,4.0,2.0,3.0,3.0,2.0,5.0
224,1.0,4.0,1.0,1.0,,2.0,
225,,5.0,1.0,,3.0,3.0,4.0
226,5.0,2.0,,,1.0,2.0,5.0
227,3.0,3.0,,3.0,,1.0,2.0
228,,2.0,,4.0,2.0,1.0,4.0
229,5.0,5.0,4.0,,2.0,1.0,5.0
230,5.0,,4.0,,3.0,2.0,1.0
231,1.0,1.0,2.0,4.0,3.0,3.0,
232,2.0,1.0,,1.0,2.0,2.0,2.0
233,2.0,,,5.0,4.0,5.0,
234,5.0,3.0,2.0,4.0,5.0,4.0,1.0
235,2.0,,,3.0,4.0,,4.0
236,1.0,,2.0,4.0,4.0,,2.0
237,1.0,,3.0,1.0,,2.0,1.0
238,3.0,4.0,3.0,1.0,5.0,5.0,
239,4.0,,2.0,4.0,4.0,2.0,5.0
240,,,4.0,,5.0,5.0,2.0
241,3.0,4.0,5.0,4.0,5.0,4.0,2.0
242,1.0,3.0,1.0,5.0,2.0,5.0,3.0
243,4.0,2.0,4.0,4.0,1.0,4.0,4.0
244,,5.0,1.0,3.0,2.0,,5.0
245,3.0,,3.0,,4.0,2.0,
246,2.0,3.0,4.0,1.0,4.0,2.0,
247,5.0,,3.0,1.0,5.0,5.0,2.0
248,1.0,1.0,4.0,4.0,1.0,,4.0
249,2.0,2.0,3.0,4.0,2.0,2.0,4.0
250,4.0,1.0,5.0,4.0,2.0,4.0,
251,2.0,2.0,3.0,3.0,4.0,3.0,1.0
252,1.0,4.0,1.0,5.0,5.0,1.0,4.0
253,,,3.0,,3.0,4.0,3.0
254,5.0,,4.0,2.0,5.0,3.0,3.0
255,2.0,5.0,5.0,,,1.0,3.0
256,2.0,2.0,2.0,2.0,1.0,2.0,4.0
257,1.0,5.0,3.0,4.0,3.0,2.0,
258,5.0,4.0,5.0,5.0,5.0,5.0,
259,4.0,1.0,5.0,,5.0,1.0,1.0
260,3.0,3.0,3.0,5.0,,2.0,3.0
261,2.0,2.0,2.0,,1.0,1.0,2.0
262,4.0,5.0,5.0,3.0,4.0,1.0,1.0
263,5.0,4.0,1.0,3.0,4.0,3.0,2.0
264,3.0,1.0,4.0,3.0,2.0,5.0,5.0
265,5.0,4.0,2.0,,3.0,2.0,1.0
266,3.0,1.0,2.0,1.0,,4.0,3.0
267,4.0,1.0,4.0,2.0,,3.0,4.0
268,,,2.0,3.0,,2.0,3.0
269,5.0,3.0,3.0,3.0,1.0,5.0,5.0
270,3.0,2.0,5.0,2.0,4.0,2.0,5.0
271,1.0,4.0,4.0,3.0,,5.0,2.0
272,,5.0,4.0,,,,
273,4.0,,2.0,,,3.0,3.0
274,4.0,4.0,2.0,3.0,1.0,1.0,3.0
275,1.0,,3.0,5.0,2.0,3.0,2.0
276,5.0,,2.0,4.0,2.0,2.0,2.0
277,3.0,,2.0,,1.0,5.0,3.0
278,4.0,,,5.0,4.0,,3.0
279,,1.0,3.0,5.0,4.0,2.0,3.0
280,,5.0,5.0,3.0,2.0,,3.0
281,1.0,4.0,,,5.0,2.0,4.0
282,,5.0,1.0,,4.0,4.0,5.0
283,,,3.0,5.0,,3.0,1.0
284,,5.0,3.0,4.0,1.0,,4.0
285,,5.0,1.0,4.0,3.0,4.0,1.0
286,5.0,5.0,,1.0,3.0,3.0,
287,,3.0,5.0,4.0,2.0,,4.0
288,3.0,4.0,,5.0,1.0,3.0,
289,5.0,2.0,1.0,5.0,5.0,2.0,4.0
290,1.0,3.0,5.0,3.0,4.0,1.0,5.0
291,5.0,,1.0,3.0,5.0,5.0,2.0
292,2.0,1.0,5.0,5.0,4.0,1.0,3.0
293,,5.0,2.0,2.0,3.0,,
294,,2.0,,1.0,4.0,,1.0
295,1.0,,2.0,5.0,,3.0,1.0
296,5.0,3.0,2.0,4.0,3.0,4.0,3.0
297,1.0,5.0,4.0,4.0,2.0,1.0,5.0
298,1.0,1.0,3.0,3.0,2.0,,2.0
299,3.0,5.0,1.0,5.0,4.0,,2.0
300,4.0,3.0,2.0,5.0,5.0,,4.0
301,5.0,3.0,4.0,4.0,2.0,4.0,2.0
302,5.0,1.0,,2.0,1.0,1.0,
303,5.0,,1.0,1.0,3.0,,4.0
304,2.0,,3.0,5.0,5.0,4.0,2.0
305,1.0,,2.0,,3.0,3.0,4.0
306,2.0,4.0,3.0,5.0,,3.0,
307,5.0,5.0,1.0,5.0,1.0,5.0,2.0
308,4.0,,,1.0,4.0,5.0,5.0
309,2.0,1.0,,,,2.0,5.0
310,,1.0,1.0,5.0,1.0,,
311,4.0,4.0,5.0,4.0,1.0,5.0,5.0
312,4.0,1.0,2.0,4.0,3.0,2.0,4.0
313,,4.0,,4.0,2.0,5.0,4.0
314,2.0,2.0,4.0,5.0,2.0,5.0,
315,2.0,5.0,1.0,4.0,3.0,1.0,5.0
316,1.0,,2.0,4.0,5.0,,5.0
317,1.0,,5.0,1.0,,4.0,2.0
318,2.0,1.0,1.0,,2.0,2.0,5.0
319,1.0,5.0,4.0,3.0,,3.0,2.0
320,1.0,,,,5.0,5.0,2.0
321,,,1.0,4.0,4.0,1.0,5.0
322,,,5.0,4.0,,,
323,3.0,3.0,,5.0,1.0,1.0,
324,5.0,2.0,5.0,1.0,2.0,5.0,1.0
325,4.0,4.0,2.0,1.0,1.0,,5.0
326,2.0,3.0,4.0,,2.0,5.0,5.0
327,2.0,1.0,4.0,1.0,1.0,3.0,4.0
328,,3.0,5.0,,1.0,2.0,2.0
329,4.0,1.0,2.0,2.0,1.0,5.0,3.0
330,2.0,4.0,3.0,2.0,5.0,1.0,
331,5.0,2.0,2.0,5.0,2.0,,5.0
332,3.0,4.0,4.0,3.0,,,4.0
333,5.0,5.0,3.0,5.0,,3.0,2.0
334,3.0,5.0,1.0,1.0,1.0,,4.0
335,3.0,,4.0,4.0,2.0,,5.0
336,,5.0,3.0,4.0,,2.0,3.0
337,,5.0,,4.0,4.0,5.0,
338,2.0,2.0,1.0,2.0,,,1.0
339,4.0,5.0,,3.0,,5.0,4.0
340,,4.0,,3.0,2.0,2.0,3.0
341,,,2.0,5.0,3.0,5.0,4.0
342,4.0,2.0,3.0,5.0,5.0,1.0,
343,5.0,1.0,1.0,2.0,5.0,,2.0
344,5.0,2.0,2.0,,,1.0,4.0
345,,1.0,2.0,2.0,3.0,,5.0
346,,1.0,,3.0,5.0,5.0,3.0
347,3.0,,,2.0,4.0,2.0,4.0
348,2.0,,4.0,3.0,4.0,4.0,2.0
349,1.0,,,5.0,,3.0,2.0
350,1.0,,4.0,2.0,1.0,1.0,
351,1.0,1.0,4.0,2.0,5.0,4.0,4.0
352,1.0,,1.0,5.0,2.0,2.0,3.0
353,3.0,5.0,5.0,1.0,2.0,1.0,5.0
354,,5.0,2.0,5.0,5.0,1.0,5.0
355,4.0,3.0,3.0,2.0,3.0,,4.0
356,,5.0,2.0,3.0,1.0,5.0,4.0
357,,,2.0,5.0,2.0,5.0,1.0
358,,,5.0,1.0,5.0,,2.0
359,3.0,3.0,1.0,3.0,4.0,5.0,1.0
360,4.0,3.0,4.0,,4.0,2.0,5.0
361,4.0,,1.0,,3.0,2.0,1.0
362,1.0,3.0,3.0,5.0,,2.0,4.0
363,,1.0,3.0,3.0,2.0,5.0,1.0
364,2.0,5.0,,5.0,2.0,2.0,
365,4.0,5.0,4.0,2.0,1.0,2.0,
366,,4.0,,5.0,,,2.0
367,5.0,1.0,,5.0,3.0,,
368,4.0,3.0,3.0,1.0,2.0,,1.0
369,4.0,3.0,3.0,4.0,2.0,1.0,
370,5.0,3.0,,1.0,1.0,3.0,
371,2.0,,,2.0,,1.0,4.0
372,5.0,,,,3.0,2.0,1.0
373,4.0,2.0,4.0,2.0,,,5.0
374,3.0,4.0,4.0,3.0,2.0,1.0,5.0
375,,5.0,1.0,3.0,3.0,1.0,
376,1.0,2.0,,1.0,4.0,,
377,1.0,3.0,,4.0,5.0,4.0,1.0
378,4.0,,,3.0,5.0,,5.0
379,,5.0,4.0,,,5.0,4.0
380,1.0,,5.0,3.0,1.0,,5.0
381,4.0,4.0,4.0,5.0,3.0,3.0,1.0
382,1.0,,2.0,1.0,4.0,3.0,1.0
383,2.0,,5.0,2.0,4.0,1.0,3.0
384,,1.0,4.0,,4.0,2.0,3.0
385,2.0,2.0,,1.0,3.0,1.0,4.0
386,3.0,2.0,2.0,5.0,1.0,5.0,1.0
387,2.0,3.0,5.0,1.0,3.0,,1.0
388,3.0,2.0,,,5.0,4.0,5.0
389,2.0,1.0,2.0,2.0,,1.0,1.0
390,,2.0,,1.0,3.0,,1.0
391,2.0,4.0,3.0,,,4.0,1.0
392,5.0,1.0,4.0,3.0,1.0,2.0,3.0
393,,4.0,1.0,3.0,3.0,2.0,1.0
394,,5.0,1.0,3.0,,2.0,4.0
395,2.0,,5.0,5.0,5.0,3.0,4.0
396,4.0,4.0,4.0,2.0,1.0,,
397,2.0,2.0,1.0,4.0,1.0,4.0,1.0
398,3.0,5.0,1.0,5.0,,,
399,3.0,1.0,3.0,2.0,5.0,,
400,5.0,1.0,3.0,,3.0,4.0,
401,,2.0,4.0,,2.0,,3.0
402,5.0,5.0,2.0,5.0,2.0,2.0,4.0
403,5.0,3.0,1.0,4.0,3.0,5.0,5.0
404,3.0,5.0,5.0,3.0,2.0,5.0,
405,,2.0,1.0,5.0,5.0,3.0,4.0
406,5.0,1.0,1.0,1.0,2.0,5.0,2.0
407,,5.0,,5.0,5.0,4.0,
408,2.0,5.0,2.0,4.0,1.0,2.0,
409,,5.0,3.0,,5.0,,4.0
410,5.0,,2.0,,,,
411,3.0,1.0,,4.0,5.0,5.0,3.0
412,1.0,3.0,,,,,5.0
413,,,,4.0,1.0,3.0,5.0
414,4.0,4.0,,4.0,,2.0,4.0
415,2.0,,1.0,,4.0,1.0,
416,,5.0,5.0,5.0,4.0,3.0,1.0
417,4.0,1.0,,2.0,1.0,,2.0
418,,3.0,,,4.0,3.0,4.0
419,1.0,2.0,3.0,2.0,2.0,5.0,1.0
420,4.0,,3.0,4.0,,4.0,4.0
421,3.0,2.0,5.0,2.0,,2.0,
422,1.0,5.0,3.0,,3.0,3.0,
423,,5.0,4.0,1.0,2.0,2.0,4.0
424,2.0,3.0,5.0,1.0,1.0,,
425,,1.0,2.0,1.0,5.0,5.0,1.0
426,,2.0,3.0,1.0,3.0,1.0,1.0
427,4.0,4.0,3.0,4.0,4.0,5.0,5.0
428,1.0,2.0,5.0,2.0,,4.0,3.0
429,5.0,5.0,2.0,,1.0,1.0,
430,2.0,,,5.0,3.0,3.0,
431,4.0,1.0,4.0,,5.0,4.0,2.0
432,3.0,1.0,2.0,4.0,1.0,,
433,,,4.0,4.0,5.0,,2.0
434,,3.0,,4.0,5.0,1.0,2.0
435,2.0,,,5.0,1.0,2.0,3.0
436,1.0,1.0,5.0,,,3.0,3.0
437,4.0,5.0,,3.0,4.0,4.0,
438,2.0,2.0,2.0,,1.0,2.0,4.0
439,2.0,5.0,1.0,2.0,1.0,3.0,2.0
440,,1.0,1.0,1.0,2.0,5.0,
441,4.0,4.0,,5.0,3.0,2.0,2.0
442,,,3.0,1.0,1.0,2.0,5.0
443,1.0,5.0,,1.0,5.0,2.0,2.0
444,,,,5.0,1.0,1.0,2.0
445,5.0,,4.0,4.0,5.0,4.0,1.0
446,5.0,2.0,1.0,,3.0,2.0,2.0
447,,2.0,2.0,1.0,2.0,5.0,4.0
448,1.0,5.0,2.0,4.0,3.0,4.0,1.0
449,5.0,3.0,4.0,4.0,5.0,2.0,
450,1.0,4.0,3.0,3.0,,4.0,
451,,2.0,2.0,,5.0,4.0,3.0
452,1.0,,1.0,,2.0,1.0,
453,5.0,3.0,2.0,2.0,4.0,4.0,4.0
454,4.0,1.0,,,2.0,3.0,2.0
455,5.0,4.0,3.0,,3.0,3.0,1.0
456,,1.0,5.0,1.0,4.0,5.0,5.0
457,1.0,2.0,5.0,3.0,,3.0,1.0
458,3.0,4.0,,4.0,4.0,4.0,5.0
459,,4.0,5.0,3.0,2.0,4.0,3.0
460,5.0,5.0,3.0,2.0,4.0,3.0,4.0
461,1.0,2.0,5.0,4.0,3.0,3.0,
462,3.0,2.0,2.0,1.0,3.0,3.0,3.0
463,2.0,2.0,,3.0,,,5.0
464,2.0,,3.0,4.0,3.0,5.0,2.0
465,1.0,,2.0,,,4.0,2.0
466,5.0,,,5.0,1.0,3.0,5.0
467,1.0,3.0,4.0,5.0,5.0,3.0,3.0
468,,2.0,4.0,,5.0,4.0,5.0
469,1.0,2.0,3.0,4.0,2.0,4.0,5.0
470,2.0,5.0,2.0,4.0,5.0,1.0,3.0
471,3.0,,,,5.0,5.0,3.0
472,5.0,3.0,4.0,3.0,,5.0,3.0
473,2.0,,4.0,5.0,,4.0,3.0
474,4.0,3.0,1.0,5.0,3.0,3.0,1.0
475,1.0,,,1.0,2.0,3.0,2.0
476,,1.0,2.0,2.0,1.0,2.0,4.0
477,3.0,3.0,5.0,,,4.0,1.0
478,1.0,,5.0,4.0,4.0,1.0,1.0
479,5.0,5.0,5.0,,5.0,,2.0
480,,2.0,4.0,1.0,2.0,1.0,1.0
481,,2.0,4.0,2.0,4.0,,5.0
482,5.0,1.0,3.0,1.0,2.0,5.0,5.0
483,4.0,4.0,4.0,3.0,,3.0,3.0
484,4.0,3.0,1.0,3.0,,3.0,4.0
485,3.0,3.0,2.0,2.0,2.0,1.0,1.0
486,2.0,3.0,1.0,,2.0,,3.0
487,1.0,,,2.0,5.0,2.0,
488,3.0,,2.0,1.0,,4.0,2.0
489,1.0,,2.0,3.0,,,1.0
490,3.0,,1.0,3.0,1.0,2.0,1.0
491,3.0,2.0,5.0,2.0,5.0,2.0,
492,4.0,5.0,2.0,4.0,3.0,5.0,3.0
493,5.0,,1.0,,2.0,4.0,
494,3.0,5.0,4.0,5.0,,2.0,5.0
495,1.0,2.0,4.0,1.0,1.0,5.0,3.0
496,2.0,1.0,1.0,3.0,4.0,2.0,2.0
497,,5.0,,2.0,2.0,3.0,
498,5.0,,1.0,,,4.0,4.0
499,4.0,3.0,3.0,3.0,2.0,1.0,2.0
